,Unnamed: 0,Unnamed: 0.1,Artist,Genres,Followers,Popularity,Songs,Length
2633,6403,6403,Munich Radio Orchestra,"['classical performance', 'german orchestra', 'orchestra', 'radio symphony']",4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
2641,6429,6429,Myke Towers,['trap latino'],4939676,95,"['Bandido', 'Ella No Es Tuya - Remix', 'La Nota', 'Mi Niña', 'Polvo', 'La Curiosidad', 'Explícito', 'La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix', 'La Jeepeta - Remix', 'Diosa']",10
2642,6431,6431,Myon,"['progressive house', 'progressive trance', 'uplifting trance']",4504691,88,"['Need Your Love (with Noah Kahan)', 'First Time (feat. Dylan Matthew)', 'Rush Over Me', 'Strangers', 'First Time (feat. Dylan Matthew) - Acoustic', 'Island (feat. Nevve)', 'See The End', 'Foolish Of Me (feat. Jonathan Mendelsohn)', 'Another Me (with Dylan Matthew)', 'Only Now (feat. Tyler Graves)']",10
2644,6436,6436,MØ,"['contemporary country', 'deep talent show']",4504691,88,"['What You Know Bout Love', 'For The Night (feat. Lil Baby & DaBaby)', 'Hello (feat. A Boogie Wit da Hoodie)', 'Dior', 'Mood Swings (feat. Lil Tjay)', 'AP - Music from the film Boogie', 'The Woo (feat. 50 Cent & Roddy Ricch)', 'Invincible', 'Element', 'Got It On Me']",10
2649,6449,6449,N.W.A.,"['conscious hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']",2947210,81,"['Walk Em Down (feat. Roddy Ricch)', 'Camelot', 'Shotta Flow (feat. Blueface) [Remix]', 'Picture Me Grapin’', 'Narrow Road (feat. Lil Baby)', 'CAPO', 'Moonlight (feat. Big Sean)', 'Shotta Flow', 'Shotta Flow 5', 'Famous Hoes']",10
2650,6450,6450,NASH,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'supergroup']",3124387,81,"['Tennessee Whiskey', 'You Should Probably Leave', 'Starting Over', 'Broken Halos', 'Parachute', 'Millionaire', 'Joy Of My Life', 'Fire Away', 'BLOW (with Chris Stapleton & Bruno Mars)', 'Cold']",10
2653,6458,6458,NEU!,"['alternative rock', 'anti-folk', 'elephant 6', 'indie pop', 'indie rock', 'lo-fi', 'modern rock']",2575924,88,"['Peaches (feat. Daniel Caesar & Giveon)', 'Get You (feat. Kali Uchis)', 'Best Part (feat. H.E.R.)', 'Japanese Denim', 'Who Hurt You?', 'CYANIDE', 'Streetcar', 'We Find Love', 'Blessed', 'Hold Me Down']",10
2654,6459,6459,NF,"['hip hop', 'pop rap', 'rap']",5282283,88,"['Let You Down', 'Lie', 'CLOUDS', 'JUST LIKE YOU', 'If You Want Love', 'LOST', 'Paralyzed', 'Time', 'DRIFTING', 'TRUST']",10
2655,6463,6463,NLE Choppa,['memphis hip hop'],2947210,81,"['Walk Em Down (feat. Roddy Ricch)', 'Camelot', 'Shotta Flow (feat. Blueface) [Remix]', 'Picture Me Grapin’', 'Narrow Road (feat. Lil Baby)', 'CAPO', 'Moonlight (feat. Big Sean)', 'Shotta Flow', 'Shotta Flow 5', 'Famous Hoes']",10
2656,6467,6467,NTO,"['minimal melodic techno', 'minimal techno', 'new french touch', 'tropical house']",13030802,88,"['No Role Modelz', 'MIDDLE CHILD', 'Wet Dreamz', 'Work Out', 'Under The Sun (with J. Cole & Lute feat. DaBaby)', 'Power Trip (feat. Miguel)', 'The London (feat. J. Cole & Travis Scott)', 'G.O.M.D.', 'Neighbors', 'Love Yourz']",10
2657,6469,6469,Nacho,"['dominican pop', 'latin', 'latin pop', 'pop reggaeton', 'pop venezolano', 'reggaeton', 'trap latino', 'tropical']",15117715,85,"['Chica Ideal', 'No Bailes Sola', 'Bajo La Mesa', 'Robarte un Beso', 'No Hay Nadie Más', 'Locura', 'Adiós', 'TBT', 'Un Año', 'Traicionera']",10
2659,6485,6485,Nas,"['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']",60986881,96,"['positions', '34+35', '7 rings', 'Stuck with U (with Justin Bieber)', 'thank u, next', 'Rain On Me (with Ariana Grande)', 'pov', '34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix', 'motive (with Doja Cat)', 'God is a woman']",10
2660,6487,6487,Nat,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']",33578447,90,"['Believer', 'Follow You', 'Thunder', 'Bad Liar', 'Natural', 'Demons', 'Whatever It Takes', 'Radioactive', 'Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'On Top Of The World']",10
2662,6491,6491,Natalia Lafourcade,"['latin', 'latin alternative', 'latin pop', 'mexican pop', 'rock en espanol', 'veracruz indie']",4346365,79,"['Amor A Primera Vista', 'Nunca Es Suficiente', 'Cómo Te Voy A Olvidar', 'El Listón De Tu Pelo', 'Mis Sentimientos', '17 Años', 'Ni Contigo, Ni Sin Ti', 'Mi Niña Mujer', '17 Años - Concierto Sinfónico Cumbia Fuzion', 'Acaríñame']",10
2664,6494,6494,Natalie Dessay,"['classical soprano', 'opera']",4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
