,artists,genres
645,Akriti Kakkar,['modern bollywood']
646,Aku,['australian alternative pop']
647,Akwid,"['chicano rap', 'latin hip hop', 'mexican hip hop']"
648,Al Alberts,"['australian pop', 'australian singer-songwriter', 'folk-pop', 'indie anthem-folk']"
649,Al B. Sure!,"['funk', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'urban contemporary']"
650,Al Bano,['classic italian pop']
652,Al Bowlly,"['adult standards', 'big band', 'british dance band', 'swing']"
653,Al Caiola,"['adult standards', 'easy listening', 'exotica', 'lounge']"
656,Al Cohn,"['bebop', 'cool jazz', 'hard bop', 'jazz saxophone']"
658,Al Dexter & His Troopers,['country boogie']
659,Al Di Meola,"['flamenco guitar', 'jazz fusion', 'jazz guitar']"
662,Al Green,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']"
663,Al Gromer Khan,"['kirtan', 'meditation', 'new tribe', 'sitar', 'world fusion']"
665,Al Haig Trio,['jazz trio']
668,Al Hirt,"['adult standards', 'dixieland', 'easy listening', 'jazz trumpet', 'lounge', 'new orleans jazz', 'space age pop']"
670,Al Hug,"['post-romantic era', 'swedish classical']"
671,Al Hurricane,['new mexico music']
672,"Al Hurricane, Jr.",['new mexico music']
673,Al Jarreau,"['adult standards', 'jazz funk', 'quiet storm', 'smooth jazz', 'soft rock', 'vocal jazz', 'yacht rock']"
674,Al Johnson,['background music']
675,Al Jolson,"['big band', 'swing', 'tin pan alley']"
676,Al Kooper,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'psychedelic rock', 'rock keyboard']"
677,Al Martino,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
679,Al Stewart,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']"
680,Al Stillman,['tin pan alley']
682,Al Wilson,"['classic soul', 'motown', 'northern soul']"
684,Alaa,['arab alternative']
685,Alabama,"['country', 'country road', 'country rock']"
687,Alabama Shakes,"['alabama indie', 'indie rock', 'modern blues rock', 'rock']"
688,Alabina,['arab pop']
689,Alacranes Musical,"['corrido', 'duranguense', 'regional mexican']"
691,Alain Barrière,"['chanson', 'ye ye']"
692,Alain Bashung,"['chanson', 'french indie pop', 'french pop', 'french rock', 'nouvelle chanson francaise']"
693,Alain Boublil,['broadway']
695,Alain Planes,"['classical piano', 'french classical piano']"
696,Alain Souchon,"['chanson', 'french indie pop', 'french pop', 'french rock', 'nouvelle chanson francaise']"
698,Alamid,['pinoy rock']
699,Alan Braden,"['library music', 'operetta']"
701,Alan Cumming,"['broadway', 'show tunes']"
706,Alan Gilbert,"['classical performance', 'orchestral performance']"
708,Alan Hawkshaw,"['exotica', 'library music', 'lounge', 'spytrack']"
709,Alan Howarth,"['classic soundtrack', 'horror synth', 'soundtrack']"
710,Alan Jackson,"['contemporary country', 'country', 'country road']"
713,Alan Lomax,"['appalachian folk', 'spirituals', 'traditional blues', 'traditional folk']"
715,Alan Menken,"['broadway', 'disney', 'hollywood', 'movie tunes', 'show tunes']"
716,Alan Mills,['american folk revival']
718,Alan Moorhouse,"['library music', 'spytrack']"
719,Alan Morris,"['progressive trance', 'progressive uplifting trance', 'uplifting trance']"
720,Alan Parker,"['library music', 'spytrack']"
721,Alan Parsons,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']"
722,Alan Silvestri,['soundtrack']
723,Alan Sorrenti,"['classic italian pop', 'italian adult pop']"
724,Alan Tam,"['c-pop', 'cantopop', 'classic cantopop']"
727,Alan Vega,"['no wave', 'post-punk', 'synth punk']"
728,Alan Walker,['electro house']
729,Alan Watts,['free folk']
733,Alanis Morissette,"['alternative rock', 'canadian pop', 'canadian singer-songwriter', 'pop rock', 'singer-songwriter']"
734,Alannah Myles,"['classic canadian rock', 'new wave pop']"
735,Alas,"['compositional ambient', 'focus']"
736,Alasdair Fraser,"['celtic', 'irish folk', 'jig and reel', 'scottish fiddle', 'scottish folk', 'string folk']"
737,Alaska Y Dinarama,"['spanish new wave', 'spanish pop', 'spanish synthpop']"
738,Alaska Y Los Pegamoides,['spanish new wave']
740,Alaíde Costa,"['bossa nova', 'velha guarda']"
741,Alban Berg,"['classical', 'classical performance', 'streichquartett', 'string quartet']"
742,Alban Berg Quartett,"['classical', 'classical performance', 'streichquartett', 'string quartet']"
744,Albert,"['australian pop', 'australian singer-songwriter', 'folk-pop', 'indie anthem-folk']"
745,Albert Ammons & Pete Johnson,['boogie-woogie']
746,Albert Ayler,"['avant-garde', 'avant-garde jazz', 'experimental', 'free improvisation', 'free jazz', 'jazz saxophone']"
747,Albert Collins,"['blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues']"
749,Albert Hammond,"['dance-punk', 'garage rock', 'indie rock', 'modern rock', 'punk blues', 'rock']"
751,Albert King,"['blues', 'blues rock', 'classic rock', 'electric blues', 'memphis soul', 'soul blues', 'traditional blues']"
753,Albert Lortzing,"['classical era', 'german opera', 'german romanticism']"
754,Albert Préjean,['vintage chanson']
757,Alberta Hunter,['harlem renaissance']
758,Albertina Walker,"['contemporary gospel', 'gospel']"
760,Alberto Arenas,['vintage tango']
761,Alberto Beltran,['bolero']
762,Alberto Cortez,"['bolero', 'cantautor', 'nueva cancion', 'pop romantico', 'ranchera', 'trova']"
763,Alberto Erede,['opera']
764,Alberto Feria,['hard minimal techno']
766,Alberto Ginastera,"['early modern classical', 'latin classical', 'neoclassicism']"
767,Alberto Gomez,['vintage tango']
768,Alberto Martini,['italian violin']
770,Alberto Pacheco,['cumbia']
771,Alberto Pedraza,"['cumbia', 'cumbia sonidera']"
773,Alberto Rabagliati,"['classic italian pop', 'swing italiano', 'vintage italian pop']"
776,Alberto Vazquez,"['bolero', 'mexican rock-and-roll', 'pop romantico', 'ranchera']"
777,Alberto Y Roberto,['grupera']
779,Albion,['dunedin indie']
780,Alborosie,"['modern reggae', 'reggae', 'roots reggae']"
781,Alcatrazz,"['album rock', 'glam metal', 'hard rock', 'metal', 'neo classical metal']"
783,Alceu Valença,"['manguebeat', 'mpb', 'nova musica pernambucana']"
790,Alda Noni,"['classical soprano', 'italian soprano', 'vintage schlager']"
794,Aldo Cadiz,['electronica chilena']
795,Aldo Campoamor,['vintage tango']
797,Aldo Ciccolini,"['classical piano', 'italian classical piano']"
799,Aldo Donà,['vintage italian pop']
802,Aldo Monges,['pop romantico']
803,Aldo Nova,"['album rock', 'canadian metal', 'classic canadian rock', 'glam metal', 'hard rock']"
804,Aldo Protti,"['classical baritone', 'italian baritone']"
805,Aldo Trujillo,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
807,Aleanne Francois,['haitian traditional']
809,Alec Benjamin,"['electropop', 'pop']"
812,Alec Wilder,['tin pan alley']
813,Aled Jones,['operatic pop']
816,Alegre All Stars,"['latin jazz', 'salsa international']"
817,Alejandra Guzman,"['latin', 'latin arena pop', 'latin pop', 'mexican pop', 'ranchera', 'rock en espanol']"
819,Alejandro Algara,['bolero mexicano']
822,Alejandro Fernández,"['latin', 'latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'ranchera', 'regional mexican']"
823,Alejandro Filio,"['cantautor', 'nueva cancion', 'trova', 'trova mexicana']"
824,Alejandro Lerner,"['argentine rock', 'latin pop', 'rock nacional']"
825,Alejandro Sanz,"['cantautor', 'latin', 'latin arena pop', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop']"
826,Alejandro Vivanco,['minimal tech house']
829,Alekos Kitsakis,['rebetiko']
830,Aleks Syntek,"['latin', 'latin alternative', 'latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol']"
838,Alen,['ukrainian classical piano']
839,Alena,['ukrainian classical piano']
840,Alena Cherny,['ukrainian classical piano']
842,Alessandra Roncone,['italian trance']
843,Alessandro,"['italian tenor', 'operatic pop']"
845,Alessandro Corbelli,"['classical baritone', 'italian baritone', 'opera']"
847,Alessandro Marcello,"['baroque', 'early music', 'italian baroque']"
850,Alessandro Safina,"['italian tenor', 'operatic pop']"
851,Alessandro Scarlatti,"['baroque', 'classical', 'early music', 'italian baroque', 'italian opera']"
852,Alessi Brothers,['yacht rock']
853,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']"
854,Alessio Bax,"['classical piano', 'italian classical piano']"
856,Alesso,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'tropical house']"
857,Alestorm,"['british power metal', 'comic', 'comic metal', 'metal', 'pirate', 'power metal', 'scottish metal']"
858,Alex,"['indie cafe pop', 'indie pop', 'pop', 'social media pop']"
859,Alex & Sierra,"['indie cafe pop', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']"
860,Alex Agore,['deep soul house']
862,Alex Bueno,"['bachata', 'bachata dominicana', 'latin', 'merengue', 'tropical']"
863,Alex Bueno y Su Orquesta,['merengue']
864,Alex Bugnon,['smooth jazz']
865,Alex Campos,"['latin christian', 'latin worship', 'mariachi cristiano', 'reggaeton cristiano']"
866,Alex Clare,['modern alternative rock']
874,Alex G,"['alternative rock', 'art pop', 'freak folk', 'indie folk', 'indie garage rock', 'indie pop', 'indie rock', 'lo-fi indie', 'philly indie']"
876,Alex Gargolas,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
877,Alex Gaudino,"['disco house', 'edm', 'electro house', 'vocal house']"
879,Alex Guesta,['deep uplifting trance']
882,Alex K,['contemporary country']
884,Alex Klingle,['progressive trance']
886,Alex Kunnari,"['finnish edm', 'progressive trance', 'trance', 'uplifting trance']"
888,Alex Leavon,['progressive trance']
890,Alex M.O.R.P.H.,"['german techno', 'german trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
891,Alex Manga,['vallenato moderno']
893,Alex Markachev,['re:techno']
894,Alex Metric,['uk dance']
897,Alex Newell,['indie poptimism']
900,Alex O’rion,"['focus trance', 'organic house']"
902,Alex Pich,['progressive trance house']
905,Alex Pro,['tecnobanda']
908,Alex Rose,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']"
909,Alex Sonata,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
910,Alex Sonata & TheRio,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
913,Alex Turner,"['modern rock', 'rock', 'sheffield indie']"
914,Alex Ubago,"['latin', 'latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']"
915,Alex Van Halen,['rock drums']
916,Alex Vargas,['danish pop']
919,Alex de Grassi,"['christmas instrumental', 'fingerstyle', 'new age']"
924,Alexander 'Skip' Spence,"['british folk', 'cosmic american', 'experimental', 'outsider', 'psychedelic rock']"
925,Alexander 23,"['indie cafe pop', 'indie pop', 'pop', 'social media pop']"
926,Alexander Acha,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']"
927,Alexander Baillie,['classical cello']
929,Alexander Borodin,"['classical', 'late romantic era', 'russian romanticism']"
933,Alexander Courage,"['classic soundtrack', 'theme']"
935,Alexander Glazunov,"['post-romantic era', 'russian romanticism']"
936,Alexander Gretchaninov,"['russian modern classical', 'russian romanticism']"
937,Alexander Hilsberg,['historic orchestral performance']
938,Alexander I,['russian romanticism']
939,Alexander King,"['country rap', 'redneck']"
940,Alexander Kipnis,['classical bass']
942,Alexander Maier,['deep techno']
943,Alexander Malter,['contemporary classical piano']
945,Alexander O'Neal,"['disco', 'funk', 'minneapolis sound', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
947,Alexander Popov,"['progressive house', 'progressive trance', 'russian trance', 'trance', 'uplifting trance']"
949,Alexander Robotnick,['electro']
950,Alexander Rosenbaum,"['bard', 'classic russian pop', 'russian chanson', 'russian rock']"
951,Alexander Rybak,['eurovision']
956,Alexander Scriabin,"['early modern classical', 'impressionism', 'late romantic era', 'russian romanticism']"
957,Alexander String Quartet,['string quartet']
961,Alexandra,"['bachata', 'bachata dominicana', 'latin', 'tropical']"
963,Alexandra Stan,"['dance pop', 'electropop', 'pop dance', 'romanian pop']"
966,Alexandre Desplat,"['compositional ambient', 'french soundtrack', 'hollywood', 'soundtrack']"
967,Alexandre Pires,"['axe', 'pagode']"
968,Alexandre Tansman,"['early modern classical', 'neoclassicism']"
969,Alexandre Tharaud,"['classical performance', 'classical piano', 'french classical piano']"
972,Alexei Lubimov,"['classical piano', 'historical keyboard', 'russian classical piano']"
975,Alexi Murdoch,"['acoustic pop', 'british singer-songwriter', 'indie folk', 'neo mellow', 'stomp and holler']"
977,Alexis Korner's Blues Incorporated,"['british blues', 'british invasion']"
980,Alexis Weissenberg,"['classical piano', 'french classical piano']"
981,Alexis y Fido,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
982,Alexisonfire,"['canadian post-hardcore', 'canadian rock', 'melodic metalcore', 'metalcore', 'post-hardcore', 'screamo']"
984,Alfoa,"['focus trance', 'progressive breaks']"
990,Alfonso Vélez,['musica jibara']
991,Alfonso X El Sabio,"['classical', 'early music', 'medieval', 'musica antigua', 'renaissance']"
993,Alfred Apaka,['hawaiian']
994,Alfred Brendel,"['austrian classical piano', 'classical', 'classical performance', 'classical piano']"
995,Alfred Cortot,"['french classical piano', 'historic piano performance']"
996,Alfred Deller,['classical countertenor']
997,Alfred Diaz,['deep latin christian']
999,Alfred Hause,"['ballroom', 'easy listening']"
1000,Alfred Henderson,['bahamian folk']
1002,Alfred Newman,['classic soundtrack']
1006,Alfred Prinz,['classical clarinet']
1011,Alfredo Casella,['neoclassicism']
1012,Alfredo Catalani,"['italian opera', 'italian romanticism', 'late romantic era']"
1013,Alfredo Giacomotti,['italian bass']
1014,Alfredo Gutierrez,"['classic colombian pop', 'cumbia', 'vallenato']"
1015,Alfredo Gutierrez Y Su Conjunto,"['cumbia', 'porro']"
1016,Alfredo Gutiérrez y sus Acordeones Dorados,['cumbia colombiana regia']
1017,Alfredo Linares,['salsa international']
1018,Alfredo Olivas,"['banda', 'corrido', 'deep regional mexican', 'nuevo regional mexicano', 'regional mexican']"
1019,Alfredo Simonetto,['opera']
1021,Ali,"['neo soul', 'pop', 'r&b', 'urban contemporary']"
1022,Ali & Gipp,"['dirty south rap', 'pop rap', 'southern hip hop']"
1023,Ali Akbar Khan,"['dhrupad', 'hindustani classical', 'hindustani instrumental', 'indian classical', 'sarod', 'world fusion']"
1025,Ali Farka Touré,"['afrobeat', 'afropop', 'desert blues', 'malian blues', 'mande pop', 'world']"
1026,Ali Gatie,"['canadian hip hop', 'pop']"
1027,Ali Kuru,"['ethnotronica', 'organic house']"
1032,Alibi Montana,['french hip hop']
1033,Alice Babs,"['barnmusik', 'swedish jazz', 'vintage swedish pop']"
1034,Alice Bowie,['novelty']
1035,Alice Clark,['traditional soul']
1037,Alice Coltrane,"['afrofuturism', 'afropop', 'art rock', 'avant-garde jazz', 'contemporary post-bop', 'experimental', 'fourth world', 'free jazz', 'jazz', 'jazz harp', 'spiritual jazz', 'world']"
1038,Alice Cooper,"['album rock', 'blues rock', 'classic rock', 'detroit rock', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']"
1039,Alice DJ,"['eurodance', 'europop']"
1041,Alice Faye,"['torch song', 'vintage hollywood']"
1042,Alice Gerrard,"['old-time', 'string band']"
1045,Alice In Chains,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']"
1048,Alice Sixer,['movie tunes']
1049,Alicia Bridges,['disco']
1050,Alicia Keys,"['neo soul', 'pop', 'r&b', 'urban contemporary']"
1052,Alicia Myers,"['funk', 'post-disco', 'quiet storm', 'urban contemporary']"
1053,Alicia Villarreal,"['latin', 'ranchera', 'tejano']"
1054,Alicia de Larrocha,"['classical performance', 'classical piano', 'spanish classical piano']"
1056,Alien Ant Farm,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap rock']"
1057,Alien Sex Fiend,"['dark wave', 'deathrock', 'gothic rock', 'industrial', 'industrial rock']"
1058,Alignments,"['goa psytrance', 'trance mexicano']"
1061,Alina Baraz,"['alternative r&b', 'electropop', 'etherpop', 'pop']"
1064,Aliotta Haynes Jeremiah,['classic rock']
1065,Alirio Díaz,"['classical guitar', 'guitarra clasica']"
1066,Alisha,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']"
1067,Alison Bury,['baroque violin']
1068,Alison Krauss,"['bluegrass', 'folk', 'lilith', 'progressive bluegrass']"
1069,Alison Krauss & Union Station,"['bluegrass', 'folk', 'progressive bluegrass']"
1071,Alison Moyet,"['art rock', 'classic uk pop', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
1072,Alison Wonderland,"['aussietronica', 'edm', 'electra', 'electro house', 'electronic trap', 'electropop', 'escape room', 'indietronica']"
1075,Alive 'N Kickin',['bubblegum pop']
1077,Alka Yagnik,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']"
1078,Alkaline Trio,"['chicago punk', 'emo', 'pop punk', 'punk', 'screamo', 'skate punk']"
1080,All,"['modern rock', 'pop punk', 'post-teen pop']"
1081,All Good Things,['rebel blues']
1082,All Sons & Daughters,"['anthem worship', 'ccm', 'christian music', 'christian uplift', 'indiecoustica', 'roots worship', 'world worship', 'worship']"
1083,All That Remains,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock']"
1084,All Time Low,"['modern rock', 'pop punk', 'post-teen pop']"
1085,All-4-One,"['boy band', 'dance pop', 'new jack swing', 'r&b', 'urban contemporary']"
1086,Alla Pugacheva,"['classic russian pop', 'russian pop', 'russian rock']"
1087,Alla Rakha,"['hindustani classical', 'hindustani instrumental', 'indian classical', 'tabla']"
1088,Allah-Las,"['freak folk', 'indie garage rock', 'indie rock', 'indie surf', 'neo-psychedelic', 'noise pop']"
1090,Allan Holdsworth,"['jazz funk', 'jazz fusion', 'jazz guitar', 'neo classical metal']"
