,Artist,Genres,Followers,Popularity
492,Alejandro Fernández,"['latin', 'latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'ranchera', 'regional mexican']",4062100,81
493,Alejandro Filio,"['cantautor', 'nueva cancion', 'trova', 'trova mexicana']",109527,52
494,Alejandro Lerner,"['argentine rock', 'latin pop', 'rock nacional']",222572,55
495,Alejandro Sanz,"['cantautor', 'latin', 'latin arena pop', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop']",5023609,79
498,Aleks Syntek,"['latin', 'latin alternative', 'latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol']",960756,68
499,Alen,['ukrainian classical piano'],1642,52
500,Alena,['ukrainian classical piano'],550058,70
501,Alena Cherny,['ukrainian classical piano'],550058,70
503,Alessandro,"['italian tenor', 'operatic pop']",25720,58
504,Alessandro Corbelli,"['classical baritone', 'italian baritone', 'opera']",157231,57
506,Alessandro Safina,"['italian tenor', 'operatic pop']",25720,58
509,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",8689415,81
510,Alessio Bax,"['classical piano', 'italian classical piano']",400188,65
511,Alesso,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'tropical house']",6671155,78
512,Alestorm,"['british power metal', 'comic', 'comic metal', 'metal', 'pirate', 'power metal', 'scottish metal']",455739,63
513,Alex,"['indie cafe pop', 'indie pop', 'pop', 'social media pop']",197095,77
514,Alex & Sierra,"['indie cafe pop', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']",1008727,67
516,Alex Bueno,"['bachata', 'bachata dominicana', 'latin', 'merengue', 'tropical']",158287,58
519,Alex Campos,"['latin christian', 'latin worship', 'mariachi cristiano', 'reggaeton cristiano']",953608,66
520,Alex Clare,['modern alternative rock'],639125,60
521,Alex G,"['alternative rock', 'art pop', 'freak folk', 'indie folk', 'indie garage rock', 'indie pop', 'indie rock', 'lo-fi indie', 'philly indie']",171244,61
522,Alex Gargolas,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",5503,60
523,Alex Gaudino,"['disco house', 'edm', 'electro house', 'vocal house']",94723,61
524,Alex Guesta,['deep uplifting trance'],5952,53
525,Alex K,['contemporary country'],1922746,78
529,Alex M.O.R.P.H.,"['german techno', 'german trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",76623,51
530,Alex Manga,['vallenato moderno'],9261,52
532,Alex Metric,['uk dance'],398363,67
533,Alex Newell,['indie poptimism'],33617,60
536,Alex Pro,['tecnobanda'],171529,62
537,Alex Rose,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",1922746,78
540,Alex Turner,"['modern rock', 'rock', 'sheffield indie']",525678,66
541,Alex Ubago,"['latin', 'latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']",1434223,66
543,Alex Vargas,['danish pop'],647419,68
546,Alexander 23,"['indie cafe pop', 'indie pop', 'pop', 'social media pop']",166666,74
547,Alexander Acha,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']",401565,60
